Bkav                 , @{detected=False; version=1.3.0.9282; result=; update=20170814},,
MicroWorld-eScan     , @{detected=False; version=12.0.250.0; result=; update=20170815},,
nProtect             , @{detected=False; version=2017-08-15.01; result=; update=20170815},,
CMC                  , @{detected=False; version=1.1.0.977; result=; update=20170814},,
CAT-QuickHeal        , @{detected=False; version=14.00; result=; update=20170814},,
McAfee               , @{detected=False; version=6.0.6.653; result=; update=20170815},,
Malwarebytes         , @{detected=False; version=2.1.1.1115; result=; update=20170815},,
Zillya               , @{detected=False; version=2.0.0.3362; result=; update=20170814},,
AegisLab             , @{detected=False; version=4.2; result=; update=20170815},,
CrowdStrike          , @{detected=False; version=1.0; result=; update=20170804},,
K7GW                 , @{detected=False; version=10.21.24296; result=; update=20170815},,
K7AntiVirus          , @{detected=False; version=10.21.24295; result=; update=20170814},,
TheHacker            , @{detected=False; version=6.8.0.5.1841; result=; update=20170814},,
Invincea             , @{detected=False; version=6.3.0.25415; result=; update=20170607},,
Baidu                , @{detected=False; version=1.0.0.2; result=; update=20170814},,
F-Prot               , @{detected=False; version=4.7.1.166; result=; update=20170814},,
Symantec             , @{detected=False; version=1.4.0.0; result=; update=20170814},,
TotalDefense         , @{detected=False; version=37.1.62.1; result=; update=20170814},,
Zoner                , @{detected=False; version=1.0; result=; update=20170814},,
TrendMicro-HouseCall , @{detected=False; version=9.950.0.1006; result=; update=20170815},,
Avast                , @{detected=False; version=8.0.1489.320; result=; update=20170814},,
ClamAV               , @{detected=False; version=0.99.2.0; result=; update=20170815},,
GData                , @{detected=False; version=A,25.13842B,25.10201; result=; update=20170814}
Kaspersky            , @{detected=False; version=15.0.1.13; result=; update=20170815},,
BitDefender          , @{detected=False; version=7.2; result=; update=20170814},,
NANO-Antivirus       , @{detected=False; version=1.0.94.18377; result=; update=20170815},,
ViRobot              , @{detected=False; version=2014.3.20.0; result=; update=20170814},,
Rising               , @{detected=False; version=25.0.0.1; result=; update=20170815},,
Ad-Aware             , @{detected=False; version=3.0.3.1010; result=; update=20170815},,
Sophos               , @{detected=False; version=4.98.0; result=; update=20170815},,
Comodo               , @{detected=False; version=27604; result=; update=20170814},,
F-Secure             , @{detected=False; version=11.0.19100.45; result=; update=20170814},,
DrWeb                , @{detected=False; version=7.0.28.2020; result=; update=20170815},,
VIPRE                , @{detected=False; version=60300; result=; update=20170815},,
TrendMicro           , @{detected=False; version=9.862.0.1074; result=; update=20170815},,
McAfee-GW-Edition    , @{detected=False; version=v2015; result=; update=20170814},,
Emsisoft             , @{detected=False; version=4.0.1.883; result=; update=20170815},,
SentinelOne          , @{detected=False; version=1.0.2.235; result=; update=20170806},,
Cyren                , @{detected=False; version=5.4.30.7; result=; update=20170814},,
Jiangmin             , @{detected=False; version=16.0.100; result=; update=20170814},,
Webroot              , @{detected=False; version=1.0.0.207; result=; update=20170815},,
Avira                , @{detected=False; version=8.3.3.4; result=; update=20170814},,
Antiy-AVL            , @{detected=False; version=3.0.0.1; result=; update=20170815},,
Kingsoft             , @{detected=False; version=2013.8.14.323; result=; update=20170815},,
Endgame              , @{detected=False; version=0.7.6; result=; update=20170721},,
SUPERAntiSpyware     , @{detected=False; version=5.6.0.1032; result=; update=20170815},,
ZoneAlarm            , @{detected=False; version=1.0; result=; update=20170815},,
Microsoft            , @{detected=False; version=1.1.14003.0; result=; update=20170815},,
AhnLab-V3            , @{detected=False; version=3.9.2.18278; result=; update=20170814},,
ALYac                , @{detected=False; version=1.1.1.2; result=; update=20170814},,
AVware               , @{detected=False; version=1.5.0.42; result=; update=20170815},,
MAX                  , @{detected=False; version=2017.6.26.1; result=; update=20170815},,
VBA32                , @{detected=False; version=3.12.26.4; result=; update=20170814},,
Cylance              , @{detected=True; version=2.3.1.101; result=Unsafe; update=20170815},,
WhiteArmor           , @{detected=False; version=; result=; update=20170731},,
Panda                , @{detected=False; version=4.6.4.2; result=; update=20170814},,
Arcabit              , @{detected=False; version=1.0.0.817; result=; update=20170815},,
ESET-NOD32           , @{detected=False; version=15915; result=; update=20170815},,
Tencent              , @{detected=False; version=1.0.0.1; result=; update=20170815},,
Yandex               , @{detected=False; version=5.5.1.3; result=; update=20170814},,
Ikarus               , @{detected=False; version=0.1.5.2; result=; update=20170814},,
Fortinet             , @{detected=False; version=5.4.247.0; result=; update=20170815},,
AVG                  , @{detected=False; version=8.0.1489.320; result=; update=20170814},,
Paloalto             , @{detected=False; version=1.0; result=; update=20170815},,
Qihoo-360            , @{detected=False; version=1.0.0.1120; result=; update=20170815},,
